"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","ERROR","2019-09-18T14:21:53.2126459+03:00[Europe/Helsinki]","0.0","2.28"
"Lookup a definition","Looking up the definition of 'pear'","ERROR","2019-09-18T14:21:55.9242354+03:00[Europe/Helsinki]","0.0","0.79"
